draws,first_name,height,last_name,losses,reach,stance,url,weight,wins,fighter_id,SApM,SLpM,Str. Acc.,Str. Def,Sub. Avg.,TD Acc.,TD Avg.,TD Def.
0,Bobby,--,McAndrews,3,--,Orthodox,ef6f45095119d416,--,1,1691,1.03,2.56,83%,50%,7.7,0%,0.00,33%
0,Michael,"6' 1""",McBride,3,"75.0""",Orthodox,443f60bec7c3c3d5,155 lbs.,8,1692,5.85,4.08,48%,40%,1.2,42%,1.85,30%
1,Ian,"5' 5""",McCall,5,"64.0""",Orthodox,701e057d63c124d9,125 lbs.,13,1693,3.25,3.59,39%,67%,0.0,30%,2.08,88%
0,Molly,"5' 4""",McCann,1,--,,51018a31ddf31eb2,125 lbs.,7,1694,0.00,0.00,0%,0%,0.0,0%,0.00,0%
0,Charles,"5' 10""",McCarthy,5,"71.0""",Orthodox,da97d6c97d09c030,185 lbs.,10,1695,4.03,0.18,12%,56%,2.7,60%,2.67,0%
0,Sean,"6' 7""",McCorkle,2,"81.0""",Orthodox,008dc37cca279def,265 lbs.,13,1696,2.48,0.85,44%,52%,4.2,40%,2.12,33%
0,Kris,"6' 0""",McCray,3,"76.0""",Orthodox,baed16f18348908e,170 lbs.,6,1697,2.57,2.69,45%,54%,0.0,55%,2.88,38%
0,Tamdan,"6' 4""",McCrory,5,"78.0""",Switch,eff47295daf721a6,185 lbs.,14,1698,1.60,2.07,49%,46%,2.5,50%,2.28,33%
0,Rob,"5' 9""",McCullough,8,"69.0""",Orthodox,11e3fd7546359fc5,155 lbs.,19,1699,2.84,2.47,36%,59%,0.0,100%,0.46,68%
2,Justin,"6' 1""",McCully,5,"73.0""",Orthodox,75f871836d41f90f,225 lbs.,10,1700,2.02,1.58,37%,46%,0.0,44%,1.28,43%
0,Bubba,"6' 3""",McDaniel,8,"75.0""",Southpaw,5cafbc97dba2e797,185 lbs.,21,1701,1.98,1.64,44%,56%,1.4,50%,0.93,50%
0,Michael,"5' 11""",McDonald,1,--,Orthodox,d52ef694108f8235,205 lbs.,1,1702,0.40,0.00,0%,50%,0.0,0%,0.00,0%
0,Scott,--,McDonald,0,--,,08ae3100bf2100ed,--,1,1703,0.00,0.00,0%,0%,0.0,0%,0.00,0%
0,Michael,"5' 9""",McDonald,4,"70.0""",Orthodox,d0314416a7f26527,135 lbs.,17,1704,2.76,2.69,42%,57%,1.4,66%,1.09,52%
0,Josh,--,McDonald,4,--,,b507a76087e3ed9f,185 lbs.,8,1705,0.00,0.00,0%,0%,0.0,0%,0.00,0%
0,Miles,"5' 7""",McDonald,1,--,,a3f8356ace5e3eb5,115 lbs.,2,1706,4.00,5.10,45%,43%,1.0,0%,0.00,100%
0,Justin,"6' 6""",McElfresh,4,--,Orthodox,49c29e57d4e2be6f,205 lbs.,6,1707,12.79,4.59,26%,41%,0.0,0%,0.00,0%
0,Drew,"6' 0""",McFedries,6,"72.0""",Southpaw,1fd4fbdcc67de844,185 lbs.,10,1708,4.56,5.13,51%,52%,0.7,100%,1.42,56%
0,Liam,"6' 6""",McGeary,2,--,,e4e0993befecdaf8,205 lbs.,12,1709,1.92,1.28,48%,50%,2.5,100%,0.51,0%
0,Gan,"6' 10""",McGee,5,--,Orthodox,d90b630e0561818b,265 lbs.,13,1710,2.31,2.20,29%,59%,0.0,25%,0.65,83%
0,Court,"5' 11""",McGee,7,"75.0""",Orthodox,523fa774700d7d3f,170 lbs.,19,1711,3.57,4.83,35%,63%,0.5,24%,1.98,60%
