draws,first_name,height,last_name,losses,reach,stance,url,weight,wins,fighter_id
1,Fabricio,"6' 4""",Werdum,8,"77.0""",Orthodox,"492b202d2064e7a9""",231 lbs.,23,2498
0,Mike,"6' 0""",Wessel,4,--,Orthodox,"b51841e7c594090d""",260 lbs.,10,2499
0,Dustin,"5' 11""",West,4,--,,"5f5763b3a4de8dd4""",170 lbs.,4,2500
1,Sheldon,"6' 1""",Westcott,3,"71.0""",Southpaw,"ec2d13a87d3d9541""",170 lbs.,10,2501
0,Aaron,--,Wetherspoon,4,--,,"1ce7998e0a215caa""",170 lbs.,8,2502
0,Coty,"5' 6""",Wheeler,4,"67.0""",Orthodox,"e57f0b06ea39e360""",135 lbs.,14,2503
2,Vernon,"6' 0""",White,33,--,Southpaw,"12458872d6afae1b""",205 lbs.,26,2504
0,Alex,"6' 0""",White,4,"71.0""",Southpaw,"c17041f1bb5768d8""",155 lbs.,12,2505
0,Rob,"5' 9""",Whiteford,4,"69.0""",Southpaw,"1dafccb62a0f98ec""",145 lbs.,12,2506
0,Mike,"6' 1""",Whitehead,7,--,Orthodox,"22d1e00e1aabb7c9""",205 lbs.,27,2507
0,Garett,"6' 0""",Whiteley,3,"72.0""",Orthodox,"129537073431e52e""",155 lbs.,8,2508
0,Mitch,"5' 9""",Whitesel,20,--,,"b6debbda44d4a5a0""",185 lbs.,16,2509
0,Robert,"6' 0""",Whittaker,4,"73.0""",Orthodox,"e1147d3d2dabe1ce""",185 lbs.,20,2510
0,Adam,"6' 5""",Wieczorek,1,"81.0""",Orthodox,"efa1f6b42c86793c""",250 lbs.,10,2511
0,Orlando,"5' 10""",Wiet,5,--,Southpaw,"a6c2f5381d575920""",170 lbs.,1,2512
0,Jonathan,"6' 3""",Wiezorek,2,--,Southpaw,"60884f31ead1609c""",250 lbs.,11,2513
0,Justin,"5' 6""",Wilcox,6,--,Orthodox,"4a482a0100cfcd0a""",155 lbs.,11,2514
0,Joe,"5' 9""",Wilk,8,--,,"781014fb7e8e647a""",145 lbs.,12,2515
